% This is a dataset obtained from the YAHOO FINANCES. Here is the included description:
%
% The data provided are daily stock prices from 01/01/2015 through 31/12/2015, for BBDC4.SA.
%
% Source: collection of regression datasets by Jean Felipe Hartz (jeanrsbr@gmail.com) at
% http://real-chart.finance.yahoo.com 
% Characteristics: 246 cases, 5 continuous attributes

@relation stock

@attribute BBDC4.SAClosePrice numeric
@attribute BBDC4.SAHighPrice numeric
@attribute BBDC4.SALowPrice numeric
@attribute BBDC4.SAOpenPrice numeric
@attribute BBDC4.SAVolume numeric

@data
31.08,31.15,30.31,30.51,6786800
31.01,31.45,30.79,30.85,7981700
31.27,31.34,30.62,31.34,8455000
31.69,31.69,31.1,31.39,9620900
31.61,31.67,31.26,31.67,7409200
30.8,31.41,30.74,31.26,6510400
30.59,31.1,30.35,30.9,5391800
31,31.3,30.37,30.58,7140700
31.68,31.99,30.53,30.83,8990600
32.44,32.75,31.68,31.95,11660600
31.96,32.75,31.8,32.17,10785700
32.45,32.55,31.76,32.03,8180900
31.68,32.53,31.53,32.31,12655300
32.16,32.19,31.46,31.53,8741900
32.31,32.81,32.22,32.38,6910200
32.39,32.73,31.7,32.02,9066700
31.57,32.65,31.33,32.37,8609300
31.66,31.69,31.16,31.35,4905200
31.75,32.12,31.23,32.07,5196700
31.65,31.94,31.36,31.9,6049600
31.33,31.63,31.25,31.37,3924300
30.87,31.43,30.79,31.25,6025600
31.62,31.67,30.76,31,5208600
32.28,32.28,31.42,31.62,5565200
31.49,32.35,31.1,32.3,9029700
31.03,31.54,30.52,31.46,5825300
30.25,30.83,30.13,30.61,12239600
29.73,30.07,29.32,29.98,13328700
29.1,29.6,28.9,29.52,18365600
29.27,29.58,28.93,29.09,4227300
28.4,29.17,28.38,29.12,13206500
29.17,29.34,28.15,28.56,15027500
28.99,29.06,28.43,28.98,8708500
28.21,28.98,28.19,28.98,14366700
28.16,28.54,28,28.34,6455600
28.86,28.98,28.31,28.37,9098400
28.2,28.79,28.06,28.79,11194700
27.54,28.1,27.54,28,8476800
27.58,27.97,27.5,27.71,5684500
27.28,27.85,27.17,27.64,10055300
28.23,28.47,27.68,27.82,10538800
28.3,28.69,27.88,28.51,9431600
27.77,28.29,27.71,28,8170200
27.61,27.79,27.1,27.6,9392300
28.31,28.5,27.67,27.82,9024000
27.72,28.2,27.61,28.1,8789400
28.76,28.92,27.62,28.01,8238000
28.2,28.66,27.95,28.38,9877600
28.5,28.67,28.1,28.39,9312000
28.64,28.94,28.37,28.51,6203200
28.8,28.9,28.43,28.68,4375100
28.62,28.88,28.05,28.88,8710300
29.09,29.18,28.57,28.57,6318200
28.45,28.96,28.2,28.6,6712300
28.5,28.78,28.28,28.61,6261700
28.37,28.75,28.2,28.65,6744900
28.87,28.98,28.47,28.65,6276200
28.52,28.81,28.36,28.71,2338000
28,28.47,27.83,28.11,7709000
27.87,27.96,27.2,27.85,9191200
27.37,28.06,27.32,27.62,5397600
28.46,28.56,27.8,27.97,7340400
28.98,29.11,28.41,28.77,7158200
29.17,29.36,28.65,28.9,6125500
28.96,29.25,28.72,29.25,5654300
28.9,29.39,28.75,29.33,6545200
28.72,29.29,28.48,28.99,5593200
28.2,28.72,28.15,28.63,4469900
27.95,28.27,27.72,28.2,6068000
27.73,27.84,27.33,27.68,5757900
26.5,27.74,26.44,27.54,13006000
26.71,26.74,25.83,26.5,12322700
26.96,27.26,26.6,26.7,9633500
27.3,27.69,26.63,27.36,11285400
27.6,27.88,27.11,27.11,7387800
27.05,27.8,26.86,27.8,8423500
27.28,27.56,27.02,27.09,7233600
26.43,26.69,26.1,26.54,16993100
26.03,26.48,25.8,26.43,11667600
25.95,26.41,25.6,26.2,9434200
26,26.35,25.52,25.65,7709000
25.28,26.08,25.16,25.71,10226500
25.58,25.75,25.37,25.49,5631000
25.57,25.77,25.12,25.7,8129700
24.75,25.28,24.7,25.2,14494900
24.38,24.89,24.22,24.81,10959000
24.21,24.64,24.07,24.32,11304100
23.81,24.46,23.81,24.06,5456700
24.26,24.79,23.34,23.7,18414500
23.6,23.87,23.2,23.84,12085100
23.41,23.59,23.08,23.35,13038000
23.28,23.59,22.9,23.19,16022000
22.87,23.39,21.75,22.15,19052900
22.95,23.67,22.76,23.54,14953700
24.08,24.09,22.78,23.15,19834600
24.67,25.05,24.12,24.4,16726800
24.03,24.84,23.79,24.22,13702600
23.05,23.36,22.86,23.18,22331000
22.39,22.74,22.2,22.3,15186900
22.78,22.84,22.21,22.61,11539900
23.35,23.35,22.38,22.98,16120400
22.36,23.04,22.36,22.72,12861600
22.88,23.03,22.7,23.03,10436100
23.15,23.75,23.1,23.12,15084400
22.65,23.08,22.17,22.49,14949600
22.4,22.64,22.29,22.53,9627600
23.4,23.5,22.3,22.46,11527100
23.85,24.02,23.28,23.36,10867800
24.74,24.75,24.01,24.01,13254700
24.67,25.27,24.3,24.5,13436600
23.33,24.46,23.13,24.35,19057100
22.61,23.49,22.42,23.24,12916800
22.7,22.92,21.89,22.31,14276100
21.93,22.96,21.93,22.65,12144000
22.19,22.38,20.85,21.27,15912900
21.68,22.63,21.51,22.47,9910300
21.14,21.48,20.87,21.37,11922200
21.01,21.61,20.96,21.17,12653100
21.42,21.78,20.9,21.75,17009600
21.71,21.85,21.32,21.5,10183800
22.51,22.51,21.36,21.53,12938900
23.17,23.7,22.74,22.99,12364700
23.39,23.5,22.94,23.08,10650800
24.23,24.76,23.58,23.9,16850300
24.25,24.45,23.84,23.93,12842800
23.99,24.68,23.6,24.61,12635500
22.68,23.45,22.24,23.45,19349800
22.56,22.99,22.3,22.53,24092700
22.48,22.75,22.01,22.61,9785200
22.05,22.47,21.85,22.44,13671300
22.02,22.42,21.96,22.13,14298400
21.5,22.24,21.37,22.15,13414300
21.53,21.76,21.25,21.5,9619500
21.85,22.11,21.61,21.68,10409900
21.55,22.45,21.5,22.38,10129000
21.39,21.9,21.06,21.7,11154700
21.48,21.54,21.16,21.4,12219900
22.03,22.51,21.29,21.46,20553800
21.04,22.07,21.04,21.5,14709700
21,21.35,20.85,21.23,13847900
22.11,22.15,20.94,21.2,16970800
21.65,22.55,21.47,22.51,16944200
22.24,22.24,21.54,21.73,11547800
21.92,22.13,21.65,22.11,14240300
21.43,21.91,21.35,21.81,15039300
21.32,21.41,20.75,21.4,11253100
21.84,21.94,21.36,21.53,11389400
21.83,21.97,21.09,21.63,11850000
21.51,21.76,21.27,21.52,13617100
21.69,21.69,21.26,21.54,16565400
22.5,22.84,21.79,21.79,16383100
22.68,23.07,22.37,22.5,11490200
23.4,23.4,22.82,23,12614700
23.17,23.84,22.9,23.7,15515300
23.01,23.14,22.45,22.9,10787000
21.89,22.68,21.85,22.59,17260700
22.37,22.51,21.9,21.93,10996000
21.55,22.21,21.46,22.18,13952500
21.12,21.52,20.85,21.3,33044300
21,21.37,20.82,21.12,14037400
20.97,21.38,20.6,21.07,16237400
21.89,22.64,21.7,21.9,21902800
21.59,21.84,21.25,21.84,13057300
21.37,22.16,21.32,21.8,8451400
20.9,21.5,20.81,21.38,15422500
21.95,22.12,21.2,21.23,24314800
21,22.04,21,21.79,15909700
20.82,21.33,20.72,20.76,16729400
20.45,20.75,20.33,20.74,13471900
20.77,21.08,20.57,20.6,9009000
20.95,21.13,20.11,20.5,26127900
20.54,20.97,20.41,20.85,18281200
19.65,20.24,19.46,19.86,22598900
19.08,19.94,19.03,19.84,12689500
19.25,19.58,19.1,19.22,8981800
19.4,19.56,19.16,19.55,6844200
19.59,19.66,19.27,19.5,6152200
19.69,19.8,19.54,19.78,5498700
19.28,19.74,19.2,19.74,8456400
