% This is a dataset obtained from the YAHOO FINANCES. Here is the included description:
%
% The data provided are daily stock prices from 01/01/2015 through 31/12/2015, for BBDC4.SA.
%
% Source: collection of regression datasets by Jean Felipe Hartz (jeanrsbr@gmail.com) at
% http://real-chart.finance.yahoo.com 


@relation stock

@attribute BBDC4.SAClosePrice numeric
@attribute BBDC4.SAHighPrice numeric
@attribute BBDC4.SALowPrice numeric
@attribute BBDC4.SAMA5 numeric
@attribute BBDC4.SAMACD numeric
@attribute BBDC4.SAOBV numeric
@attribute BBDC4.SAOpenPrice numeric
@attribute BBDC4.SARSI numeric
@attribute BBDC4.SASODI numeric
@attribute BBDC4.SASOKI numeric
@attribute BBDC4.SAVolume numeric
@attribute BBDClosePrice numeric
@attribute BBDHighPrice numeric
@attribute BBDLowPrice numeric
@attribute BBDMA5 numeric
@attribute BBDMACD numeric
@attribute BBDOBV numeric
@attribute BBDOpenPrice numeric
@attribute BBDRSI numeric
@attribute BBDSODI numeric
@attribute BBDSOKI numeric
@attribute BBDVolume numeric

@data
35.88,36.4,35.53,36.56,0.29,64096900,36.22,52.35,32.29,10.2,9189200,11.65,11.87,11.6,12.26,-0.27,-44221800,11.77,27.44,3.79,2.39,21272100
34.85,35.62,34.52,36.12,0.12,55257700,35.5,32.39,18.84,7.43,8839200,11.04,11.53,11.04,11.93,-0.37,-56570500,11.45,15.76,2.5,0,12348700
33.69,34.95,33.69,35.42,-0.1,42111500,34.34,21.12,5.88,0,13146200,10.79,11.17,10.78,11.54,-0.46,-78402600,11.17,14.98,0.91,0.34,21832100
34.7,34.75,33.86,35.09,-0.2,50183600,33.92,33.33,8.87,19.17,8072100,11,11.13,10.75,11.3,-0.52,-68342500,10.82,21.21,2.95,8.5,10060100
34.08,35.26,34.05,34.64,-0.32,38302000,35.2,29.62,8.86,7.4,11881600,10.78,11.28,10.75,11.05,-0.57,-80644500,11.23,20,3.29,1.02,12302000
33.66,33.88,33.17,34.2,-0.45,26804600,33.39,24.41,11.68,8.46,11497400,10.37,10.48,10.12,10.8,-0.64,-92637700,10.4,15.75,5.51,7,11993200
34.16,34.24,33.6,34.06,-0.5,35749000,34,25.34,10.99,17.1,8944400,10.53,10.58,10.34,10.69,-0.67,-81896600,10.49,10.58,6.5,11.48,10741100
35.5,35.51,33.83,34.42,-0.43,48274000,34.16,35.3,21.93,40.24,12525000,10.9,10.93,10.3,10.72,-0.66,-69929900,10.39,19.69,13.45,21.85,11966700
36.9,36.9,34.82,34.86,-0.26,58744300,35.49,44.02,40.59,64.42,10470300,11.42,11.44,10.69,10.8,-0.6,-56317000,10.84,29.6,23.25,36.41,13612900
36.28,36.69,35.83,35.3,-0.17,51905100,36.63,43.36,55.79,62.7,6839200,10.94,11.23,10.82,10.83,-0.59,-65424400,11.17,26.47,28.41,26.97,9107400
36.84,37.25,36.46,35.94,-0.06,63965100,36.58,48.75,72.36,89.95,12060000,11.42,11.56,11.26,11.04,-0.53,-54679600,11.29,36.33,37.54,49.24,10744800
36.75,37.25,36.47,36.45,0.03,58599700,36.7,48,80.13,87.75,5365400,11.61,11.69,11.43,11.26,-0.47,-46598400,11.44,38.83,47.98,67.73,8081200
36.4,37.17,35.97,36.63,0.07,52684500,36.8,50.1,85.62,79.17,5915200,11.58,11.84,11.39,11.39,-0.41,-54570400,11.84,43.08,62.39,70.19,7972000
30.35,30.81,30.01,35.32,-0.39,39987700,30.58,30.85,57.21,4.72,12696800,11.38,11.72,11.37,11.39,-0.38,-66388100,11.65,42.89,69.97,72,11817700
29.42,30.23,29.32,33.95,-0.81,29223000,30.09,29.91,28.35,1.16,10764700,11.05,11.33,11,11.41,-0.38,-77527000,11.29,43.27,65.42,54.07,11138900
28.6,29.43,28.2,32.3,-1.2,19615200,29.43,30.31,3.43,4.42,9607800,8.86,9.07,8.77,10.9,-0.55,-89399700,9,31.95,43,2.93,11872700
29.2,29.21,28.45,30.79,-1.45,29103400,28.75,35.34,5.54,11.05,9488200,9.03,9.04,8.77,10.38,-0.66,-78849400,8.8,35.23,21.82,8.47,10550300
29.67,29.78,28.74,29.45,-1.58,39909300,28.83,32.97,10.57,16.24,10805900,9.28,9.3,8.98,9.92,-0.72,-65759200,9.05,35.67,9.34,16.61,13090200
30.61,31.02,29.88,29.5,-1.6,48816400,30.06,38.5,17.97,26.63,8907100,9.59,9.82,9.52,9.56,-0.73,-55856400,9.52,40.23,17.26,26.71,9902800
30.96,31.32,30.72,29.81,-1.56,56535200,30.84,41.01,24.46,30.5,7718800,9.87,9.98,9.73,9.33,-0.72,-48103500,9.77,45.81,26.38,35.83,7752900
31.13,31.48,30.96,30.31,-1.5,62155700,31.2,39.69,29.83,32.38,5620500,9.97,10.15,9.95,9.55,-0.68,-40484200,10.11,45.25,33.88,39.09,7619300
31.24,31.4,30.91,30.72,-1.43,67591300,31.15,34.18,32.15,33.59,5435600,9.93,10.03,9.89,9.73,-0.65,-46949800,9.97,41.29,37.57,37.79,6465600
31.31,31.67,31.19,31.05,-1.35,76276900,31.42,26.96,33.44,34.36,8685600,10.19,10.33,10.14,9.91,-0.6,-39577200,10.18,38.42,41.04,46.25,7372600
30.75,30.97,30.25,31.08,-1.32,66215100,30.75,27.09,32.04,28.18,10061800,9.97,10.16,9.91,9.99,-0.57,-48896300,10.11,40.4,41.04,39.09,9319100
31.08,31.15,30.31,31.1,-1.25,73001900,30.51,25.68,31.45,31.82,6786800,10.11,10.11,9.91,10.03,-0.53,-40219700,9.95,36.09,43,43.65,8676600
31.01,31.45,30.79,31.08,-1.19,65020200,30.85,25.72,30.44,31.33,7981700,9.88,10.17,9.86,10.02,-0.51,-46451200,10.06,31.79,39.63,36.16,6231500
31.27,31.34,30.62,31.08,-1.11,73475200,31.34,28.13,50.54,88.47,8455000,10.14,10.19,9.9,10.06,-0.47,-36091800,10.02,35.54,42.08,46.44,10359400
31.69,31.69,31.1,31.16,-1,83096100,31.39,60.98,73.27,100,9620900,10.36,10.38,10.09,10.09,-0.42,-25377200,10.18,39.8,48.24,62.11,10714600
31.61,31.67,31.26,31.33,-0.91,75686900,31.67,70.9,95.39,97.71,7409200,10.43,10.46,10.28,10.18,-0.36,-14580400,10.34,43.46,68.92,98.22,10796800
30.8,31.41,30.74,31.28,-0.89,69176500,31.26,70.99,90.08,72.53,6510400,10.11,10.26,10.03,10.18,-0.34,-25454200,10.22,71.78,79.87,79.29,10873800
30.59,31.1,30.35,31.19,-0.89,63784700,30.9,64.33,77.65,62.71,5391800,10.03,10.18,9.95,10.21,-0.33,-30527300,10.16,67.99,82.82,70.95,5073100
10.1,10.21,10.02,10.21,-0.31,-25190900,10.06,65.77,70.65,61.7,5336400
31,31.3,30.37,31.14,-0.84,70925400,30.58,63.88,65.71,61.88,7140700,10.29,10.38,9.99,10.19,-0.27,-18107800,10.01,64.11,69.79,76.71,7083100
31.68,31.99,30.53,31.14,-0.74,79916000,30.83,61.81,68.92,82.18,8990600,10.64,10.7,10.12,10.23,-0.21,-7280900,10.12,65.1,77.09,92.86,10826900
32.44,32.75,31.68,31.3,-0.59,91576600,31.95,64.98,77.22,87.6,11660600,11.01,11.02,10.64,10.41,-0.14,8019600,10.64,68.44,89.57,99.14,15300500
31.96,32.75,31.8,31.53,-0.5,80790900,32.17,57.9,79.39,68.4,10785700,10.86,11.12,10.86,10.58,-0.09,1166200,11.04,65.87,90.45,79.37,6853400
32.45,32.55,31.76,31.91,-0.39,88971800,32.03,60.75,81.33,88,8180900,11.01,11.11,10.92,10.76,-0.03,8480100,11.07,64.54,89.92,91.27,7313900
31.68,32.53,31.53,32.04,-0.36,76316500,32.31,52.92,71.2,57.2,12655300,10.73,10.9,10.64,10.85,-0.02,-3461500,10.81,63.19,79.89,69.05,11941600
32.16,32.19,31.46,32.14,-0.29,85058400,31.53,61.28,73.67,75.82,8741900,10.69,10.76,10.46,10.86,-0,-17743200,10.76,60.43,75.4,65.87,14281700
10.75,10.8,10.55,10.81,0.01,-11151200,10.67,66.67,68.2,69.67,6592000
32.31,32.81,32.22,32.11,-0.23,91968600,32.38,60.13,70.9,79.67,6910200,10.54,10.67,10.47,10.74,0,-20940400,10.59,57.81,61.99,50.43,9789200
32.39,32.73,31.7,32.2,-0.17,101035300,32.02,61.35,79.47,82.93,9066700,10.55,10.73,10.39,10.65,0,-10734200,10.43,54.04,57.13,51.28,10206200
31.57,32.65,31.33,32.02,-0.18,92426000,32.37,52.26,70.73,49.59,8609300,10.34,10.63,10.28,10.57,-0.02,-18158400,10.62,48.19,45.01,33.33,7424200
31.66,31.69,31.16,32.02,-0.18,97331200,31.35,49.76,61.92,53.25,4905200,10.44,10.45,10.19,10.52,-0.03,-13729500,10.27,57.27,42.17,41.88,4428900
31.75,32.12,31.23,31.94,-0.18,102527900,32.07,51.11,53.25,56.91,5196700,10.62,10.67,10.4,10.5,-0.02,-8591400,10.61,62.45,43.66,55.75,5138100
31.65,31.94,31.36,31.8,-0.18,96478300,31.9,57.58,54.34,52.85,6049600,10.31,10.65,10.3,10.45,-0.03,-14067600,10.64,54.02,41.98,28.32,5476200
31.33,31.63,31.25,31.59,-0.2,92554000,31.37,56.47,49.7,39.34,3924300,10.37,10.46,10.25,10.42,-0.04,-9152700,10.27,51.61,36.36,25,4914900
30.87,31.43,30.79,31.45,-0.25,86528400,31.25,48.87,35.7,14.91,6025600,10.17,10.46,10.12,10.38,-0.07,-16440000,10.4,39.91,19.44,5,7287300
31.62,31.67,30.76,31.44,-0.23,91737000,31,49.49,32.07,41.95,5208600,10.52,10.57,10.24,10.4,-0.05,-6277000,10.29,39.39,23.33,40,10163000
32.28,32.28,31.42,31.55,-0.16,97302200,31.62,48.61,43.67,74.15,5565200,10.75,10.79,10.43,10.42,-0.03,4625300,10.52,47.7,36.21,63.64,10902300
31.49,32.35,31.1,31.52,-0.17,88272500,32.3,46.12,50.57,35.61,9029700,10.41,10.65,10.28,10.44,-0.03,-11147700,10.64,38.37,46.94,37.18,15773000
31.03,31.54,30.52,31.46,-0.2,82447200,31.46,38.21,44.01,22.27,5825300,10.16,10.35,10.07,10.4,-0.05,-19507600,10.33,38.82,37.71,12.33,8359900
30.25,30.83,30.13,31.33,-0.29,70207600,30.61,38.14,20.79,4.48,12239600,10.08,10.19,10.02,10.38,-0.08,-28318600,10.08,38.22,19.07,7.69,8811000
29.73,30.07,29.32,30.96,-0.4,56878900,29.98,29.98,12.83,11.75,13328700,9.71,9.94,9.66,10.22,-0.13,-42027800,9.85,32.07,8.15,4.42,13709200
29.1,29.6,28.9,30.32,-0.53,38513300,29.52,25.5,7.15,5.22,18365600,9.4,9.62,9.35,9.95,-0.19,-55322700,9.56,31,5.2,3.47,13294900
29.27,29.58,28.93,29.88,-0.62,42740600,29.09,26.51,8.95,9.87,4227300
28.4,29.17,28.38,29.35,-0.74,29534100,29.12,26.31,5.2,0.5,13206500,9.05,9.24,9.01,9.68,-0.26,-68452000,9.22,27.54,3.38,2.25,13129300
29.17,29.34,28.15,29.13,-0.77,44561600,28.56,33.11,11.55,24.29,15027500,9.25,9.31,8.85,9.5,-0.3,-53198800,8.99,33.63,8.78,20.62,15253200
28.99,29.06,28.43,28.99,-0.8,35853100,28.98,31.5,14.93,20,8708500,9.14,9.16,8.94,9.31,-0.33,-62537700,9.13,30.54,12.6,14.95,9338900
28.21,28.98,28.19,28.81,-0.88,21486400,28.98,28.87,15.24,1.43,14366700,8.8,9.1,8.8,9.13,-0.39,-76270900,9.05,24,11.86,0,13733200
28.16,28.54,28,28.59,-0.93,15030800,28.34,29.86,8.37,3.68,6455600,8.85,8.92,8.77,9.02,-0.42,-67949500,8.9,27.47,6.3,3.96,8321400
28.86,28.98,28.31,28.68,-0.91,24129200,28.37,37.61,8.29,19.77,9098400,9.2,9.24,9,9.05,-0.41,-55622700,9.04,33.43,8.42,21.29,12326800
28.2,28.79,28.06,28.48,-0.93,12934500,28.79,28.68,9.35,4.6,11194700,9.01,9.15,8.97,9,-0.41,-64423500,9.15,33.52,12.38,11.88,8800800
8.9,9.06,8.85,8.95,-0.42,-69489400,8.99,25.3,13.2,6.44,5065900
27.54,28.1,27.54,28.19,-0.99,4457700,28,20.45,8.12,0,8476800,8.76,8.87,8.71,8.94,-0.43,-76891600,8.81,18.81,6.96,2.58,7402200
27.58,27.97,27.5,28.07,-1.02,10142200,27.71,23.11,2.19,1.98,5684500,8.91,8.95,8.82,8.96,-0.43,-65775100,8.9,25,7.07,12.2,11116500
27.28,27.85,27.17,27.89,-1.06,86900,27.64,23.63,1.66,3.01,10055300,8.79,9,8.77,8.87,-0.42,-78828500,8.91,26.13,6.73,5.41,13053400
28.23,28.47,27.68,27.77,-1,10625700,27.82,36.13,13.85,36.55,10538800,9.06,9.18,9.02,8.88,-0.4,-65127200,9.16,33.33,15.35,28.46,13701300
28.3,28.69,27.88,27.79,-0.94,20057300,28.51,39.53,28.69,46.5,9431600,9.07,9.08,8.84,8.92,-0.37,-55087700,9.03,38.15,24.47,39.56,10039500
27.77,28.29,27.71,27.83,-0.92,11887100,28,40.12,35.98,24.9,8170200,8.93,9.05,8.88,8.95,-0.36,-63081500,8.99,40.71,34.89,36.67,7993800
27.61,27.79,27.1,27.84,-0.91,2494800,27.6,37.65,31.39,22.77,9392300,8.84,8.85,8.71,8.94,-0.35,-70926400,8.78,45.37,32.63,21.67,7844900
28.31,28.5,27.67,28.04,-0.84,11518800,27.82,49.31,33.89,54.02,9024000,9.15,9.2,8.92,9.01,-0.31,-61755300,8.94,47.9,47.12,83.02,9171100
27.72,28.2,27.61,27.94,-0.81,2729400,28.1,38.62,36.14,31.63,8789400,9.09,9.2,8.9,9.02,-0.29,-71806300,9.04,48.93,58.79,71.7,10051000
28.76,28.92,27.62,28.03,-0.71,10967400,28.01,48.41,57.98,88.3,8238000,9.38,9.45,9.03,9.08,-0.24,-61995600,9.21,62.72,81.75,90.54,9810700
28.2,28.66,27.95,28.12,-0.66,1089800,28.38,49.93,59.48,58.51,9877600,9.05,9.31,9.01,9.1,-0.23,-68884300,9.18,53.91,69.39,45.95,6888700
28.5,28.67,28.1,28.3,-0.59,10401800,28.39,52.34,73.76,74.47,9312000,9.24,9.32,9.12,9.18,-0.2,-57592300,9.25,50.83,69.37,71.62,11292000
28.64,28.94,28.37,28.36,-0.51,16605000,28.51,48.36,72.22,83.7,6203200,9.31,9.34,9.14,9.21,-0.17,-51111000,9.17,56.58,66.22,81.08,6481300
28.8,28.9,28.43,28.58,-0.44,20980100,28.68,54.84,83.52,92.39,4375100,9.25,9.37,9.2,9.25,-0.15,-55466900,9.29,57.85,75.23,72.97,4355900
28.62,28.88,28.05,28.55,-0.39,12269800,28.88,59.44,86.23,82.61,8710300,9.12,9.25,8.99,9.19,-0.14,-63241100,9.24,58.11,69.82,55.41,7774200
29.09,29.18,28.57,28.73,-0.31,18588000,28.57,62.28,90.22,95.67,6318200,9.28,9.33,9.18,9.24,-0.12,-50625800,9.24,58.3,68.47,77.03,12615300
28.45,28.96,28.2,28.72,-0.29,11875700,28.6,59.01,81.06,64.9,6712300,9.07,9.2,9.03,9.21,-0.12,-60758900,9.12,56.03,60.36,48.65,10133100
28.5,28.78,28.28,28.69,-0.27,18137400,28.61,52.42,75.96,67.31,6261700,9.16,9.31,9.11,9.18,-0.11,-50961000,9.22,52.34,62.16,60.81,9797900
28.37,28.75,28.2,28.61,-0.26,11392500,28.65,50.62,64.42,61.06,6744900,9.03,9.21,9,9.13,-0.12,-59877300,9.14,49.12,50.9,43.24,8916300
28.87,28.98,28.47,28.66,-0.22,17668700,28.65,59.79,71.15,85.1,6276200,9.3,9.33,9.11,9.17,-0.09,-50598000,9.11,57.74,61.26,79.73,9279300
28.52,28.81,28.36,28.54,-0.2,15330700,28.71,57.83,68.04,57.96,2338000
28,28.47,27.83,28.45,-0.23,7621700,28.11,47.25,55.97,24.84,7709000,8.89,9.04,8.84,9.09,-0.11,-58791000,8.94,50.92,43.72,8.2,8193000
27.87,27.96,27.2,28.33,-0.26,-1569500,27.85,51.45,38.88,33.84,9191200,8.77,8.78,8.51,9.03,-0.13,-67820700,8.73,42.46,38.53,27.66,9029700
27.37,28.06,27.32,28.13,-0.32,-6967100,27.62,34.99,22.42,8.59,5397600,8.49,8.63,8.46,8.9,-0.17,-76584600,8.57,39.05,12.96,3.03,8763900
8.6,8.76,8.6,8.81,-0.18,-69099800,8.63,34.77,15.36,15.38,7484800
28.46,28.56,27.8,28.04,-0.28,373300,27.97,52.52,35.35,63.64,7340400,8.97,9.01,8.71,8.74,-0.17,-61787200,8.78,48.46,24.82,56.04,7312600
28.98,29.11,28.41,28.14,-0.2,7531500,28.77,54.46,54.04,89.9,7158200,9.25,9.28,8.96,8.82,-0.13,-52991300,9.03,50.19,52.75,86.81,8795900
29.17,29.36,28.65,28.37,-0.12,13657000,28.9,54.88,81.58,91.2,6125500,9.3,9.39,9.13,8.92,-0.09,-44078300,9.23,49.81,77.73,90.32,8913000
28.96,29.25,28.72,28.59,-0.08,8002700,29.25,51.46,87.53,81.48,5654300,9.2,9.26,9.1,9.06,-0.07,-49732400,9.22,49.08,85.57,79.57,5654100
28.9,29.39,28.75,28.89,-0.04,1457500,29.33,52.61,83.44,77.63,6545200,9.16,9.27,9.1,9.18,-0.06,-56084100,9.26,50.76,81.72,75.27,6351700
28.72,29.29,28.48,28.95,-0.03,-4135700,28.99,46.35,76.17,69.41,5593200,8.96,9.14,8.92,9.17,-0.06,-63048100,9.12,43.98,69.53,53.76,6964000
28.2,28.72,28.15,28.79,-0.06,-8605600,28.63,47.47,64.23,45.66,4469900,8.81,8.9,8.78,9.09,-0.08,-68172700,8.89,45,55.56,37.63,5124600
27.95,28.27,27.72,28.55,-0.11,-14673600,28.2,44.66,49.77,34.25,6068000,8.79,8.84,8.72,8.98,-0.09,-75110400,8.75,42.69,42.29,35.48,6937700
27.73,27.84,27.33,28.3,-0.16,-20431500,27.68,43.89,34.7,24.2,5757900,8.53,8.66,8.47,8.85,-0.12,-83823000,8.64,40.6,26.88,7.53,8712600
26.5,27.74,26.44,27.82,-0.3,-33437500,27.54,30.15,20.16,2.03,13006000,8.05,8.41,8.02,8.63,-0.18,-95446000,8.31,28.22,15.07,2.19,11623000
26.71,26.74,25.83,27.42,-0.38,-21114800,26.5,34.48,16.98,24.72,12322700,7.93,7.97,7.74,8.42,-0.23,-113942000,7.96,31.4,7.08,11.52,18496000
26.96,27.26,26.6,27.17,-0.43,-11481300,26.7,40.65,19.5,31.74,9633500,8.02,8.12,7.91,8.26,-0.27,-101854000,8.03,35.29,10.22,16.97,12088000
27.3,27.69,26.63,27.04,-0.43,-195900,27.36,45.06,32.58,41.29,11285400,8.11,8.17,7.77,8.13,-0.28,-89314400,8.13,41.95,16.97,22.42,12539600
27.6,27.88,27.11,27.01,-0.4,7191900,27.11,52.06,40.92,49.72,7387800,8.27,8.36,8.09,8.08,-0.28,-79843100,8.13,43.15,23.84,32.12,9471300
27.05,27.8,26.86,27.12,-0.42,-1231600,27.8,35.98,41.76,34.27,8423500,8,8.26,7.95,8.07,-0.29,-89717000,8.21,29,23.43,15.76,9873900
27.28,27.56,27.02,27.24,-0.41,6002000,27.09,32.07,41.57,40.73,7233600,7.94,8.2,7.92,8.07,-0.31,-100683200,8.1,18.66,20,12.12,10966200
